go_term_qid,go_props_qid,id,go_termLabel
Q14331120,P682,GO:2000463,positive regulation of excitatory postsynaptic potential
Q574427,P682,GO:0007091,metaphase/anaphase transition of mitotic cell cycle
Q575119,P682,GO:0006097,glyoxylate cycle
Q582477,P682,GO:0050958,magnetoreception
Q583813,P682,GO:0043173,nucleotide salvage
Q1435575,P682,GO:0006810,transport
Q1447198,P682,GO:0000910,cytokinesis
Q1454719,P682,GO:0000741,karyogamy
Q1456827,P682,GO:0022008,neurogenesis
Q1473723,P682,GO:0001661,conditioned taste aversion
Q1479893,P682,GO:0050904,diapedesis
Q1509074,P682,GO:0042060,wound healing
Q1510084,P682,GO:0042331,phototaxis
Q1514944,P682,GO:0042297,vocal learning
Q11978,P682,GO:0007586,digestion
Q6048906,P682,GO:0042476,odontogenesis
Q6502518,P682,GO:0050957,equilibrioception
Q6556360,P682,GO:0061025,membrane fusion
Q6708231,P682,GO:0001946,lymphangiogenesis
Q6745783,P682,GO:0030879,mammary gland development
Q6810209,P682,GO:0051598,meiotic recombination checkpoint signaling
Q6881852,P682,GO:0000266,mitochondrial fission
Q6921783,P682,GO:0050959,animal echolocation
Q7113248,P682,GO:0001552,ovarian follicle atresia
Q7234490,P682,GO:0006301,postreplication repair
Q7251493,P682,GO:0006468,protein phosphorylation
Q7263707,P682,GO:0070269,pyroptosis
Q18599,P682,GO:0007614,short-term memory
Q18601,P682,GO:0007616,long-term memory
Q2200417,P682,GO:0050890,cognition
Q2277862,P682,GO:0060173,limb development
Q2289513,P682,GO:0051320,S phase
Q4941581,P682,GO:0045453,bone resorption
Q5058196,P682,GO:0001709,cell fate determination
Q5063037,P682,GO:0007098,centrosome cycle
Q5104524,P682,GO:0051216,cartilage development
Q5113739,P682,GO:0006338,chromatin remodeling
Q5113927,P682,GO:0007059,chromosome segregation
Q5128320,P682,GO:0006958,"complement activation, classical pathway"
Q5138687,P682,GO:0009236,cobalamin biosynthetic process
Q5165683,P682,GO:0060047,Myocardial contractility
Q5166400,P682,GO:0060026,convergent extension
Q5205753,P682,GO:0080111,DNA demethylation
Q5422650,P682,GO:0001654,eye development
Q5442768,P682,GO:0046693,sperm storage
Q5560818,P682,GO:0009561,megagametogenesis
Q5768379,P682,GO:0035329,hippo signaling
Q14633903,P682,GO:0033144,negative regulation of intracellular steroid hormone receptor signaling pathway
Q14633904,P682,GO:0033574,response to testosterone
Q14633906,P682,GO:0034504,protein localization to nucleus
Q14633907,P682,GO:0040020,regulation of meiotic nuclear division
Q14633908,P682,GO:0042590,antigen processing and presentation of exogenous peptide antigen via MHC class I
Q14633909,P682,GO:0042921,glucocorticoid receptor signaling pathway
Q14633911,P682,GO:0042981,regulation of apoptotic process
Q14633914,P682,GO:0044267,cellular protein metabolic process
Q14633915,P682,GO:0045665,negative regulation of neuron differentiation
Q14633916,P682,GO:0045740,positive regulation of DNA replication
Q14633918,P682,GO:0045787,positive regulation of cell cycle
Q14633919,P682,GO:0045892,"negative regulation of transcription, DNA-templated"
Q14633920,P682,GO:0048387,negative regulation of retinoic acid receptor signaling pathway
Q14633922,P682,GO:0050766,positive regulation of phagocytosis
Q14633923,P682,GO:0050821,protein stabilization
Q14633924,P682,GO:0051208,sequestering of calcium ion
Q14633926,P682,GO:0055007,cardiac muscle cell differentiation
Q14633927,P682,GO:0071285,cellular response to lithium ion
Q14633930,P682,GO:1900026,positive regulation of substrate adhesion-dependent cell spreading
Q14633931,P682,GO:2000510,positive regulation of dendritic cell chemotaxis
Q14633942,P682,GO:0061077,chaperone-mediated protein folding
Q14645705,P682,GO:0007275,multicellular organism development
Q14645719,P682,GO:0007626,locomotory behavior
Q14645727,P682,GO:0021542,dentate gyrus development
Q14645729,P682,GO:0021987,cerebral cortex development
Q14645732,P682,GO:0035418,protein localization to synapse
Q14645736,P682,GO:0042403,thyroid hormone metabolic process
Q14645737,P682,GO:0097107,postsynaptic density assembly
Q14758900,P682,GO:0000165,MAPK cascade
Q14758902,P682,GO:0002674,negative regulation of acute inflammatory response
Q14758903,P682,GO:0006006,glucose metabolic process
Q14758905,P682,GO:0006112,energy reserve metabolic process
Q14758906,P682,GO:0006521,regulation of cellular amino acid metabolic process
Q14758908,P682,GO:0006953,acute-phase response
Q14758909,P682,GO:0007186,G protein-coupled receptor signaling pathway
Q14758911,P682,GO:0007267,cell-cell signaling
Q14758913,P682,GO:0008286,insulin receptor signaling pathway
Q14758916,P682,GO:0022898,regulation of transmembrane transporter activity
Q14758917,P682,GO:0030307,positive regulation of cell growth
Q14758919,P682,GO:0030335,positive regulation of cell migration
Q14758920,P682,GO:0031018,endocrine pancreas development
Q14758922,P682,GO:0031954,positive regulation of protein autophosphorylation
Q14758923,P682,GO:0032148,activation of protein kinase B activity
Q14758925,P682,GO:0032270,positive regulation of cellular protein metabolic process
Q14599399,P682,GO:0008285,negative regulation of cell population proliferation
Q14599419,P682,GO:0009725,response to hormone
Q14599476,P682,GO:0030539,male genitalia development
Q14599493,P682,GO:0031639,plasminogen activation
Q14599512,P682,GO:0042987,amyloid precursor protein catabolic process
Q14599533,P682,GO:0043066,negative regulation of apoptotic process
Q14599551,P682,GO:0043154,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process
Q14599571,P682,GO:0043588,skin development
Q14599591,P682,GO:1901214,regulation of neuron death
Q14599650,P682,GO:0008203,cholesterol metabolic process
Q14599656,P682,GO:0016125,sterol metabolic process
Q14599661,P682,GO:0016126,sterol biosynthetic process
Q14599677,P682,GO:0006766,vitamin metabolic process
Q14599681,P682,GO:0006816,calcium ion transport
Q14599685,P682,GO:0010956,negative regulation of calcidiol 1-monooxygenase activity
Q14599689,P682,GO:0010980,positive regulation of vitamin D 24-hydroxylase activity
Q14599693,P682,GO:0030282,bone mineralization
Q14599698,P682,GO:0030308,negative regulation of cell growth
Q14599702,P682,GO:0030500,regulation of bone mineralization
Q14599705,P682,GO:0033280,response to vitamin D
Q14599709,P682,GO:0034341,response to interferon-gamma
Q14599713,P682,GO:0034612,response to tumor necrosis factor
Q14599717,P682,GO:0042359,vitamin D metabolic process
Q14599721,P682,GO:0042368,vitamin D biosynthetic process
Q14599725,P682,GO:0042369,vitamin D catabolic process
Q14599729,P682,GO:0043627,response to estrogen
Q14599733,P682,GO:0045618,positive regulation of keratinocyte differentiation
Q14599743,P682,GO:0055074,calcium ion homeostasis
Q14599747,P682,GO:0070314,G1 to G0 transition
Q14599750,P682,GO:0070564,positive regulation of vitamin D receptor signaling pathway
Q14599765,P682,GO:0032868,response to insulin
Q14599770,P682,GO:0034695,response to prostaglandin E
Q14599775,P682,GO:0042493,response to drug
Q14599782,P682,GO:0046688,response to copper ion
Q14599787,P682,GO:0051591,response to cAMP
Q595994,P682,GO:0000050,urea cycle
Q610457,P682,GO:0110148,biomineralization
Q615386,P682,GO:0045056,transcytosis
Q647343,P682,GO:0016598,protein arginylation
Q654005,P682,GO:0043464,malolactic fermentation
Q658145,P682,GO:0006935,chemotaxis
Q3241872,P682,GO:0019058,viral life cycle
Q3312710,P682,GO:0001958,endochondral ossification
Q3346925,P682,GO:0070266,necroptosis
Q3486859,P682,GO:0010274,hydrotropism
Q3489847,P682,GO:0001756,somitogenesis
Q3547638,P682,GO:0016567,protein ubiquitination
Q3630494,P682,GO:0046777,protein autophosphorylation
Q3655787,P682,GO:0009627,systemic acquired resistance
Q3704821,P682,GO:0009900,dehiscence
Q2843407,P682,GO:0032502,developmental process
Q2844786,P682,GO:0097186,amelogenesis
Q2990593,P682,GO:0007610,behavior
Q2990595,P682,GO:0019098,reproductive behavior
Q3023350,P682,GO:0097187,dentinogenesis
Q3151077,P682,GO:0060242,contact inhibition
Q3234465,P682,GO:0060384,innervation
Q11982,P682,GO:0015979,photosynthesis
Q838181,P682,GO:0045730,respiratory burst
Q842275,P682,GO:0009853,photorespiration
Q845870,P682,GO:0009293,transduction
Q14331131,P682,GO:2000969,positive regulation of AMPA receptor activity
Q14349691,P682,GO:0006713,glucocorticoid catabolic process
Q14349744,P682,GO:0043456,regulation of pentose-phosphate shunt
Q14358566,P682,GO:0006705,mineralocorticoid biosynthetic process
Q14358591,P682,GO:0006805,xenobiotic metabolic process
Q14358855,P682,GO:0006694,steroid biosynthetic process
Q14358861,P682,GO:0006700,C21-steroid hormone biosynthetic process
Q14358865,P682,GO:0042448,progesterone metabolic process
Q14594027,P682,GO:0043266,regulation of potassium ion transport
Q14599306,P682,GO:0006695,cholesterol biosynthetic process
Q14599311,P682,GO:0006915,apoptotic process
Q14599315,P682,GO:0006979,response to oxidative stress
Q14599352,P682,GO:0007265,Ras protein signal transduction
Q14599379,P682,GO:0008104,protein localization
Q3780159,P682,GO:0006163,purine nucleotide metabolic process
Q3798557,P682,GO:0002544,chronic inflammatory response
Q3933202,P682,GO:0019079,viral genome replication
Q4117777,P682,GO:0016571,histone methylation
Q4118894,P682,GO:0046718,viral entry into host cell
Q4424146,P682,GO:0046541,saliva secretion
Q4532193,P682,GO:0040029,"regulation of gene expression, epigenetic"
Q4736500,P682,GO:0006957,"complement activation, alternative pathway"
Q4774739,P682,GO:0020033,antigenic variation
Q4779796,P682,GO:0003383,apical constriction
Q787099,P682,GO:0001896,autolysis
Q792602,P682,GO:0098930,axonal transport
Q827489,P682,GO:0006098,pentose-phosphate shunt
Q26972,P682,GO:0010467,gene expression
Q33123,P682,GO:0006508,proteolysis
Q35831,P682,GO:0030431,sleep
Q7277124,P682,GO:0080188,gene silencing by RNA-directed DNA methylation
Q7318217,P682,GO:0043691,reverse cholesterol transport
Q7322423,P682,GO:0042254,ribosome biogenesis
Q7333746,P682,GO:0060013,righting reflex
Q7860879,P682,GO:0001806,type IV hypersensitivity
Q7916877,P682,GO:1990029,vasomotion
Q7923216,P682,GO:0006906,vesicle fusion
Q7933612,P682,GO:0019076,viral release from host cell
Q7936605,P682,GO:0008542,visual learning
Q7937033,P682,GO:0007296,vitellogenesis
Q8043643,P682,GO:0098792,xenophagy
Q9064829,P682,GO:0031577,spindle checkpoint signaling
Q9075999,P682,GO:0090398,cellular senescence
Q10344426,P682,GO:0000239,pachytene
Q1557686,P682,GO:0014889,muscle atrophy
Q1612119,P682,GO:0006955,immune response
Q1660157,P682,GO:0042783,evasion of host immune response
Q1785965,P682,GO:0060082,eye blink reflex
Q1806192,P682,GO:0000422,autophagy of mitochondrion
Q12171,P682,GO:0042703,menstruation
Q14758926,P682,GO:0032460,negative regulation of protein oligomerization
Q14758928,P682,GO:0032880,regulation of protein localization
Q14758930,P682,GO:0033861,negative regulation of NAD(P)H oxidase activity
Q14758933,P682,GO:0042177,negative regulation of protein catabolic process
Q14758934,P682,GO:0042593,glucose homeostasis
Q14758936,P682,GO:0043410,positive regulation of MAPK cascade
Q14758937,P682,GO:0045429,positive regulation of nitric oxide biosynthetic process
Q14758939,P682,GO:0045597,positive regulation of cell differentiation
Q14758940,P682,GO:0045721,negative regulation of gluconeogenesis
Q14758942,P682,GO:0045725,positive regulation of glycogen biosynthetic process
Q14758943,P682,GO:0045818,negative regulation of glycogen catabolic process
Q14758945,P682,GO:0045821,positive regulation of glycolytic process
Q14758946,P682,GO:0045840,positive regulation of mitotic nuclear division
Q14758948,P682,GO:0045861,negative regulation of proteolysis
Q14759419,P682,GO:0045922,negative regulation of fatty acid metabolic process
Q14761937,P682,GO:0046326,positive regulation of glucose import
Q14761949,P682,GO:0046628,positive regulation of insulin receptor signaling pathway
Q14761952,P682,GO:0046631,alpha-beta T cell activation
Q14761956,P682,GO:0046889,positive regulation of lipid biosynthetic process
Q14761958,P682,GO:0050708,regulation of protein secretion
Q14761961,P682,GO:0050709,negative regulation of protein secretion
Q14761964,P682,GO:0050796,regulation of insulin secretion
Q14761966,P682,GO:0050995,negative regulation of lipid catabolic process
Q14761967,P682,GO:0051000,positive regulation of nitric-oxide synthase activity
Q14761969,P682,GO:0051092,positive regulation of NF-kappaB transcription factor activity
Q14761970,P682,GO:0051897,positive regulation of protein kinase B signaling
Q14761972,P682,GO:0055089,fatty acid homeostasis
Q14761973,P682,GO:0060266,negative regulation of respiratory burst involved in inflammatory response
Q14761974,P682,GO:0060267,positive regulation of respiratory burst
Q14761976,P682,GO:0090277,positive regulation of peptide hormone secretion
Q14761977,P682,GO:0090336,positive regulation of brown fat cell differentiation
Q14761978,P682,GO:2000252,negative regulation of feeding behavior
Q14762259,P682,GO:0000187,activation of MAPK activity
Q14762262,P682,GO:0006983,ER overload response
Q14762263,P682,GO:0007257,activation of JUN kinase activity
Q14762265,P682,GO:0007520,myoblast fusion
Q14762267,P682,GO:0014902,myotube differentiation
Q14762268,P682,GO:0016042,lipid catabolic process
Q14762270,P682,GO:0042325,regulation of phosphorylation
Q14762271,P682,GO:0043393,regulation of protein binding
Q14762273,P682,GO:0043552,positive regulation of phosphatidylinositol 3-kinase activity
Q14762275,P682,GO:0060070,canonical Wnt signaling pathway
Q14763003,P682,GO:0000087,mitotic M phase
Q14763004,P682,GO:0000090,mitotic anaphase
Q14763006,P682,GO:0000236,mitotic prometaphase
Q127006,P682,GO:0006936,muscle contraction
Q130996,P682,GO:0006260,DNA replication
Q5898312,P682,GO:0002445,type II hypersensitivity
Q5898315,P682,GO:0001802,type III hypersensitivity
Q5941165,P682,GO:0016068,type I hypersensitivity
Q5958765,P682,GO:0002524,hypersensitivity
Q6013254,P682,GO:0051324,prophase
Q14763008,P682,GO:0000278,mitotic cell cycle
Q14763010,P682,GO:0006351,"transcription, DNA-templated"
Q14763015,P682,GO:0031503,protein-containing complex localization
Q14763016,P682,GO:0031536,positive regulation of exit from mitosis
Q14763019,P682,GO:0045931,positive regulation of mitotic cell cycle
Q14763021,P682,GO:0051303,establishment of chromosome localization
Q14818001,P682,GO:0001701,in utero embryonic development
Q14818004,P682,GO:0001836,release of cytochrome c from mitochondria
Q14818006,P682,GO:0002309,T cell proliferation involved in immune response
Q133500,P682,GO:0007612,learning
Q658882,P682,GO:0006605,protein targeting
Q680603,P682,GO:0005980,glycogen catabolic process
Q700003,P682,GO:0030317,flagellated sperm motility
Q719426,P682,GO:0007595,lactation
Q84230,P682,GO:0046903,secretion
Q105726,P682,GO:0060073,micturition
Q74419,P682,GO:0001837,epithelial to mesenchymal transition
Q83864,P682,GO:0044850,menstrual cycle
Q14864903,P682,GO:0007341,penetration of zona pellucida
Q14864904,P682,GO:0009607,response to biotic stimulus
Q14864910,P682,GO:0002218,activation of innate immune response
Q14864911,P682,GO:0031664,regulation of lipopolysaccharide-mediated signaling pathway
Q14864912,P682,GO:0070206,protein trimerization
Q14864917,P682,GO:0006767,water-soluble vitamin metabolic process
Q14864918,P682,GO:0009086,methionine biosynthetic process
Q14864919,P682,GO:0035999,tetrahydrofolate interconversion
Q14864920,P682,GO:0046655,folic acid metabolic process
Q14864921,P682,GO:0050667,homocysteine metabolic process
Q14864924,P682,GO:0006555,methionine metabolic process
Q14864930,P682,GO:0006956,complement activation
Q14864931,P682,GO:0009615,response to virus
Q14864932,P682,GO:0032436,positive regulation of proteasomal ubiquitin-dependent protein catabolic process
Q14864933,P682,GO:0032463,negative regulation of protein homooligomerization
Q14864941,P682,GO:0050819,negative regulation of coagulation
Q14864944,P682,GO:0030195,negative regulation of blood coagulation
Q14864948,P682,GO:0010757,negative regulation of plasminogen activation
Q14864949,P682,GO:0030199,collagen fibril organization
Q14864950,P682,GO:0046330,positive regulation of JNK cascade
Q14864951,P682,GO:0048514,blood vessel morphogenesis
Q14864952,P682,GO:0051496,positive regulation of stress fiber assembly
Q14864953,P682,GO:0071636,positive regulation of transforming growth factor beta production
Q14864954,P682,GO:2000049,positive regulation of cell-cell adhesion mediated by cadherin
Q14864983,P682,GO:0002368,B cell cytokine production
Q14864984,P682,GO:0002842,positive regulation of T cell mediated immune response to tumor cell
Q14864985,P682,GO:0006458,'de novo' protein folding
Q14864986,P682,GO:0032727,positive regulation of interferon-alpha production
Q14864987,P682,GO:0032733,positive regulation of interleukin-10 production
Q14864988,P682,GO:0042026,protein refolding
Q14864989,P682,GO:0042113,B cell activation
Q14864990,P682,GO:0043032,positive regulation of macrophage activation
Q14864991,P682,GO:0048291,isotype switching to IgG isotypes
Q14818011,P682,GO:0006284,base-excision repair
Q14818014,P682,GO:0006302,double-strand break repair
Q14818018,P682,GO:0006974,cellular response to DNA damage stimulus
Q14818020,P682,GO:0006977,"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest"
Q14818021,P682,GO:0006978,"DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator"
Q14818023,P682,GO:0007179,transforming growth factor beta receptor signaling pathway
Q14818026,P682,GO:0007406,negative regulation of neuroblast proliferation
Q14818028,P682,GO:0007569,cell aging
Q14818031,P682,GO:0008156,negative regulation of DNA replication
Q14818034,P682,GO:0008340,determination of adult lifespan
Q14818035,P682,GO:0009303,rRNA transcription
Q14818037,P682,GO:0009651,response to salt stress
Q14818039,P682,GO:0010165,response to X-ray
Q14818040,P682,GO:0010332,response to gamma radiation
Q14818042,P682,GO:0019048,modulation by virus of host process
Q14818045,P682,GO:0030330,"DNA damage response, signal transduction by p53 class mediator"
Q14818046,P682,GO:0030512,negative regulation of transforming growth factor beta receptor signaling pathway
Q14818048,P682,GO:0031065,positive regulation of histone deacetylation
Q14818049,P682,GO:0031571,mitotic G1 DNA damage checkpoint signaling
Q14818051,P682,GO:0032461,positive regulation of protein oligomerization
Q14818053,P682,GO:0033077,T cell differentiation in thymus
Q14818056,P682,GO:0034613,cellular protein localization
Q14818058,P682,GO:0034644,cellular response to UV
Q14818059,P682,GO:0035264,multicellular organism growth
Q14818060,P682,GO:0035690,cellular response to drug
Q14818061,P682,GO:0042149,cellular response to glucose starvation
Q14818062,P682,GO:0042771,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator
Q14818063,P682,GO:0043065,positive regulation of apoptotic process
Q14818065,P682,GO:0043525,positive regulation of neuron apoptotic process
Q14818066,P682,GO:0045893,"positive regulation of transcription, DNA-templated"
Q14818068,P682,GO:0045944,positive regulation of transcription by RNA polymerase II
Q14818070,P682,GO:0046677,response to antibiotic
Q10746904,P682,GO:0001957,intramembranous ossification
Q10860644,P682,GO:0090075,relaxation of muscle
Q11086205,P682,GO:0007600,sensory perception
Q11849743,P682,GO:0051866,general adaptation syndrome
Q11878517,P682,GO:0001889,liver development
Q12021553,P682,GO:0042088,T-helper 1 type immune response
Q12040553,P682,GO:0043383,negative T cell selection
Q12048101,P682,GO:0036147,rumination
Q12134483,P682,GO:0007020,microtubule nucleation
Q12153824,P682,GO:0070075,tear secretion
Q12552022,P682,GO:0051179,localization
Q12565265,P682,GO:0051326,telophase
Q14864710,P682,GO:0030321,transepithelial chloride transport
Q14864711,P682,GO:0032870,cellular response to hormone stimulus
Q14864717,P682,GO:0006821,chloride transport
Q14864725,P682,GO:0001556,oocyte maturation
Q14864726,P682,GO:0001833,inner cell mass cell proliferation
Q14864729,P682,GO:0007141,male meiosis I
Q14864730,P682,GO:0008585,female gonad development
Q14864731,P682,GO:0010225,response to UV-C
Q14864732,P682,GO:0032465,regulation of cytokinesis
Q14864733,P682,GO:0033600,negative regulation of mammary gland epithelial cell proliferation
Q14864734,P682,GO:0043966,histone H3 acetylation
Q14864735,P682,GO:0043967,histone H4 acetylation
Q14864736,P682,GO:0048478,replication fork protection
Q14864739,P682,GO:0031619,homologous chromosome orientation involved in meiotic metaphase I plate congression
Q14864748,P682,GO:0010890,positive regulation of sequestering of triglyceride
Q14864749,P682,GO:0019432,triglyceride biosynthetic process
Q14864750,P682,GO:0019433,triglyceride catabolic process
Q14864751,P682,GO:0034371,chylomicron remodeling
Q14864752,P682,GO:0034372,very-low-density lipoprotein particle remodeling
Q14863687,P682,GO:0014834,skeletal muscle satellite cell maintenance involved in skeletal muscle regeneration
Q14863689,P682,GO:0014904,myotube cell development
Q14863690,P682,GO:0030104,water homeostasis
Q14863691,P682,GO:0030166,proteoglycan biosynthetic process
Q14863692,P682,GO:0032878,regulation of establishment or maintenance of cell polarity
Q14863694,P682,GO:0034392,negative regulation of smooth muscle cell apoptotic process
Q14863695,P682,GO:0042104,positive regulation of activated T cell proliferation
Q14863696,P682,GO:0043388,positive regulation of DNA binding
Q14863697,P682,GO:0043568,positive regulation of insulin-like growth factor receptor signaling pathway
Q14863698,P682,GO:0045669,positive regulation of osteoblast differentiation
Q14863699,P682,GO:0048009,insulin-like growth factor receptor signaling pathway
Q14863700,P682,GO:0048015,phosphatidylinositol-mediated signaling
Q14863701,P682,GO:0048661,positive regulation of smooth muscle cell proliferation
Q14863702,P682,GO:0050650,chondroitin sulfate proteoglycan biosynthetic process
Q14863703,P682,GO:0051450,myoblast proliferation
Q14863704,P682,GO:0060426,lung vasculature development
Q14863705,P682,GO:0060509,type I pneumocyte differentiation
Q14863706,P682,GO:0060510,type II pneumocyte differentiation
Q14863707,P682,GO:0060527,prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis
Q14863708,P682,GO:0060736,prostate gland growth
Q14863709,P682,GO:0060741,prostate gland stromal morphogenesis
Q14863710,P682,GO:0060766,negative regulation of androgen receptor signaling pathway
Q14863711,P682,GO:0070373,negative regulation of ERK1 and ERK2 cascade
Q14863712,P682,GO:0070886,positive regulation of calcineurin-NFAT signaling cascade
Q14863713,P682,GO:2000288,positive regulation of myoblast proliferation
Q14863717,P682,GO:0006417,regulation of translation
Q14863718,P682,GO:0033143,regulation of intracellular steroid hormone receptor signaling pathway
Q14863719,P682,GO:0045600,positive regulation of fat cell differentiation
Q14863720,P682,GO:0051246,regulation of protein metabolic process
Q14863721,P682,GO:0060740,prostate gland epithelium morphogenesis
Q14863722,P682,GO:0090031,positive regulation of steroid hormone biosynthetic process
Q14863964,P682,GO:0008154,actin polymerization or depolymerization
Q14863965,P682,GO:0016197,endosomal transport
Q14863966,P682,GO:0030041,actin filament polymerization
Q14863967,P682,GO:0030048,actin filament-based movement
Q14863968,P682,GO:0038096,Fc-gamma receptor signaling pathway involved in phagocytosis
Q14863969,P682,GO:0042110,T cell activation
Q14863970,P682,GO:0050852,T cell receptor signaling pathway
Q14863982,P682,GO:0003081,regulation of systemic arterial blood pressure by renin-angiotensin
Q14863983,P682,GO:0014910,regulation of smooth muscle cell migration
Q14863984,P682,GO:0032943,mononuclear cell proliferation
Q14863986,P682,GO:0042447,hormone catabolic process
Q14863987,P682,GO:0043171,peptide catabolic process
Q14863989,P682,GO:0050482,arachidonic acid secretion
Q14863990,P682,GO:0060218,hematopoietic stem cell differentiation
Q14863993,P682,GO:0002446,neutrophil mediated immunity
Q14863994,P682,GO:0006518,peptide metabolic process
Q14863996,P682,GO:0031100,animal organ regeneration
Q14863997,P682,GO:0050769,positive regulation of neurogenesis
Q14863999,P682,GO:0060978,angiogenesis involved in coronary vascular morphogenesis
Q14864004,P682,GO:0031960,response to corticosteroid
Q827742,P682,GO:0071626,mastication
Q828130,P682,GO:0007165,signal transduction
Q835950,P682,GO:0051325,interphase
Q11990,P682,GO:0000003,reproduction
Q952019,P682,GO:0046849,bone remodeling
Q954430,P682,GO:0008037,cell recognition
Q994473,P682,GO:0042695,thelarche
Q994559,P682,GO:0051923,sulfation
Q994741,P682,GO:0051169,nuclear transport
Q999981,P682,GO:0007625,grooming behavior
Q905754,P682,GO:0009372,quorum sensing
Q908372,P682,GO:0010028,xanthophyll cycle
Q912751,P682,GO:0045333,cellular respiration
Q919283,P682,GO:0030097,hemopoiesis
Q14864753,P682,GO:0042157,lipoprotein metabolic process
Q14864754,P682,GO:0070328,triglyceride homeostasis
Q14864763,P682,GO:0001821,histamine secretion
Q14864764,P682,GO:0002314,germinal center B cell differentiation
Q14864765,P682,GO:0002636,positive regulation of germinal center formation
Q14864766,P682,GO:0002686,negative regulation of leukocyte migration
Q14864767,P682,GO:0002906,negative regulation of mature B cell apoptotic process
Q14864768,P682,GO:0006154,adenosine catabolic process
Q14864769,P682,GO:0006157,deoxyadenosine catabolic process
Q14864770,P682,GO:0009168,purine ribonucleoside monophosphate biosynthetic process
Q14864771,P682,GO:0010460,positive regulation of heart rate
Q14864772,P682,GO:0032261,purine nucleotide salvage
Q14864773,P682,GO:0033632,regulation of cell-cell adhesion mediated by integrin
Q14864774,P682,GO:0043278,response to morphine
Q14864775,P682,GO:0045987,positive regulation of smooth muscle contraction
Q14864776,P682,GO:0046061,dATP catabolic process
Q14864777,P682,GO:0046103,inosine biosynthetic process
Q14864778,P682,GO:0046111,xanthine biosynthetic process
Q14864779,P682,GO:0048541,Peyer's patch development
Q14864780,P682,GO:0048566,embryonic digestive tract development
Q14864781,P682,GO:0050850,positive regulation of calcium-mediated signaling
Q14864782,P682,GO:0050862,positive regulation of T cell receptor signaling pathway
Q14864783,P682,GO:0060169,negative regulation of adenosine receptor signaling pathway
Q14864784,P682,GO:0060407,negative regulation of penile erection
Q14864785,P682,GO:0070244,negative regulation of thymocyte apoptotic process
Q14864786,P682,GO:0070256,negative regulation of mucus secretion
Q14864790,P682,GO:0009117,nucleotide metabolic process
Q14864791,P682,GO:0045580,regulation of T cell differentiation
Q14864792,P682,GO:0046085,adenosine metabolic process
Q14864793,P682,GO:0046101,hypoxanthine biosynthetic process
Q14864794,P682,GO:0050870,positive regulation of T cell activation
Q14864806,P682,GO:0030509,BMP signaling pathway
Q14864807,P682,GO:0031667,response to nutrient levels
Q14864808,P682,GO:0033233,regulation of protein sumoylation
Q14864809,P682,GO:0060337,type I interferon signaling pathway
Q14864810,P682,GO:0070498,interleukin-1-mediated signaling pathway
Q14864811,P682,GO:0071236,cellular response to antibiotic
Q14864812,P682,GO:0071317,cellular response to isoquinoline alkaloid
